Date,Open,High,Low,Close,Volume
08/24/2021,"172.82","176.80","171.71","172.92","1,234,858"
08/23/2021,"168.80","172.88","166.71","172.24","2,144,497"
08/20/2021,"162.73","168.09","162.66","165.99","1,132,851"
08/19/2021,"161.38","166.49","160.27","162.89","1,389,703"
08/18/2021,"164.75","166.62","162.36","162.47","1,162,824"
08/17/2021,"166.14","167.40","159.84","163.48","2,029,472"
08/16/2021,"173.61","174.23","166.60","167.54","1,733,582"
08/13/2021,"180.70","180.71","174.60","175.00","1,300,141"
08/12/2021,"180.73","183.00","178.21","181.29","1,296,933"
08/11/2021,"185.60","186.28","177.06","182.29","1,495,903"
08/10/2021,"187.51","188.97","183.32","184.09","1,399,171"
08/09/2021,"181.13","186.60","178.80","185.56","1,515,219"
08/06/2021,"183.59","184.34","177.50","179.74","2,039,331"
08/05/2021,"192.60","193.53","182.99","183.45","2,134,513"
08/04/2021,"192.33","196.41","191.34","193.93","2,027,372"
08/03/2021,"188.94","201.50","187.00","192.62","4,428,362"
08/02/2021,"190.01","191.00","182.35","183.11","2,230,587"
07/30/2021,"178.73","189.92","177.22","189.60","2,351,825"
07/29/2021,"182.56","188.36","179.40","182.06","2,035,271"
07/28/2021,"170.26","183.00","163.35","181.42","3,610,587"
07/27/2021,"175.52","176.85","166.13","172.86","2,785,752"
07/26/2021,"177.44","180.92","174.50","176.68","1,246,369"
07/23/2021,"178.90","178.90","174.21","178.18","1,311,711"
07/22/2021,"179.75","181.92","176.56","178.94","1,329,616"
07/21/2021,"173.55","180.90","172.30","179.79","1,921,570"
07/20/2021,"167.53","173.52","163.93","172.09","1,943,212"
07/19/2021,"158.11","165.86","155.25","165.28","1,968,319"
07/16/2021,"167.54","168.30","163.02","163.45","1,522,772"
07/15/2021,"171.99","174.31","162.82","165.29","3,122,736"
07/14/2021,"185.05","185.92","170.61","170.79","2,377,082"
07/13/2021,"185.45","188.95","182.37","184.06","1,351,810"
07/12/2021,"184.30","187.62","180.49","185.72","1,550,335"
07/09/2021,"181.00","184.01","177.75","183.80","1,424,918"
07/08/2021,"173.15","181.72","170.26","179.72","2,405,822"
07/07/2021,"190.10","196.02","181.41","181.83","2,657,897"
07/06/2021,"186.35","189.18","183.34","188.81","2,138,881"
07/02/2021,"185.88","191.00","184.63","186.41","1,729,751"
07/01/2021,"182.32","183.50","177.28","183.11","1,711,217"
06/30/2021,"184.31","186.38","181.25","183.63","2,651,062"
06/29/2021,"188.20","192.92","184.48","185.71","2,882,151"
06/28/2021,"179.02","188.99","178.42","188.33","2,809,885"
06/25/2021,"174.90","181.19","173.25","175.39","4,042,757"
06/24/2021,"171.24","172.46","165.93","170.77","2,528,701"
06/23/2021,"167.45","171.70","167.17","170.24","2,386,145"
06/22/2021,"162.40","169.80","162.28","167.30","2,195,502"
06/21/2021,"163.53","165.89","157.55","163.08","2,708,794"
06/18/2021,"159.36","168.15","159.35","165.85","5,347,527"
06/17/2021,"150.59","164.28","150.12","161.99","4,969,858"
06/16/2021,"144.01","154.06","144.01","152.02","3,405,971"
06/15/2021,"147.26","147.71","143.42","144.92","1,663,775"
06/14/2021,"148.03","151.74","146.61","147.65","2,063,099"
06/11/2021,"143.31","147.46","140.63","147.13","2,522,076"
06/10/2021,"137.15","144.46","136.18","143.50","3,008,424"
06/09/2021,"139.95","141.23","136.72","136.97","1,615,529"
06/08/2021,"138.36","141.61","135.13","139.15","1,612,277"
06/07/2021,"133.62","137.91","130.65","137.47","2,084,567"
06/04/2021,"135.87","138.69","133.57","134.70","2,193,562"
06/03/2021,"136.75","138.24","132.48","134.13","2,537,251"
06/02/2021,"139.03","143.75","137.22","139.17","2,419,967"
06/01/2021,"144.50","146.38","137.23","139.44","2,336,172"
05/28/2021,"143.25","146.76","142.21","143.05","2,175,368"
05/27/2021,"143.24","145.50","141.66","142.31","2,608,092"
